appid,author,link,published,source,summary,title
730,Piggles ULTRAPRO,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1816307528930061,1763082076,Steam News API,[p]\[ MISC ][/p][list][*][p]Fixed ability to plant C4 while standing on top of a teammate.[/p][/*][*][p]Fixed a rendering bug on transparent charms attached to planted C4 or dropped weapons.[/p][/*][*][p]Fixed a bug where Budapest 2025 Coin sometimes wasn't showing up in the scoreboard.[/p][/*][*][p]Fixed a replay bug causing infinite shell casing effects.[/p][/*][*][p]Updated the Budapest 2025 Im,Counter-Strike 2 Update
730,COMPLEX,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1816215235365196,1762988337,Steam News API,"[p]\[ MAJOR ][/p][list][*][p]The StarLadder Budapest Major Hub is now available. Visit the hub to purchase tournament items, play the Pick'Em Challenge and more.[/p][/*][*][p]Purchase a Budapest 2025 Viewer Pass to receive an upgradable Budapest 2025 Coin. With an active pass, you can upgrade your coin and earn extra souvenir packages by playing the Pick'Em Challenge. Additionally, you will show u",Counter-Strike 2 Update
730,gautam,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1816215235365195,1762988293,Steam News API,"[p]As 2025 comes to an end, the [url=""https://major.starladder.com/en/news/starladder-to-host-2025-cs2-major-in-budapest-s-20-000-seat-mvm-dome""]StarLadder Budpest Major 2025[/url] is set to begin. Join us as the first stage begins on Monday, November 24th![/p][p][/p][p]All three stages of the StarLadder Budapest Major will be played in front of live crowds at MTK Sportpark, and for the first time",The Starladder Budapest Major 2025
730,Piggles ULTRAPRO,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1815580768210748,1762300820,Steam News API,"[p]Today we're adding a new feature to demo playback called [i]TrueView[/i]. With TrueView, demo playback will match the player's original experience much more closely.[/p][p]Previously, demo playback showed the server's view of the world, without accounting for network latency. This could be confusing because shots would hit that didn't look like they should have, and vice versa. [/p][p]TrueView ",Introducing TrueView
730,Piggles ULTRAPRO,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1815580768210747,1762300751,Steam News API,"[p]\[ GAMEPLAY ][/p][list][*][p]Fixed a case where air acceleration was clamped incorrectly while surfing.[/p][/*][*][p]Fixed a case where slowly surfing up a ramp was handled incorrectly due to misidentification as a jump apex.[/p][/*][*][p]Fix a bug causing ""Delay Sniper Rifle Un-Scope after Shot"" to be inconsistent.[/p][/*][/list][p][/p][p]\[ DEMO ][/p][list][*][p]Added TrueView demo playback, ",Counter-Strike 2 Update
730,Vitaliy,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1815034432852394,1761780997,Steam News API,"[p]\[ MISC ][/p][list][*][p]Improved player movement prediction when colliding with other moving players.[/p][/*][*][p]Added scope in/out sound prediction to play immediately for local player.[/p][/*][*][p]Retake loadout cards will now randomly offer M4A1-S or M4A4 if player has both equipped in their CT loadout.[/p][/*][*][p]Added Body Armor to 4v3, 4 Bad Guys Left, and Blind Fire cards.[/p][/*][",Counter-Strike 2 Update
1623730,Justin Wagner,https://steamstore-a.akamaihd.net/news/externalpost/PC Gamer/1817483467043818,1764538657,Steam News API,"<img src=""https://cdn.mos.cms.futurecdn.net/9BJtDMEsKfVyjMRqWLBBjA-1280-80.jpg""/><br><br>
                When it's not equipping little critters with assault rifles or <a href=""https://www.pcgamer.com/games/survival-crafting/palworld-developer-reports-nintendos-suing-over-3-pokemon-patents-for-only-usd66-000-in-damages-but-a-videogame-ip-lawyer-says-fighting-the-lawsuit-could-mean-burning-million","Palworld publishing boss says 'I haven't really touched so-called AAA titles', adding that they tend to be 'overwhelmingly about graphic quality and fidelity'"
1623730,pocketpair_admin,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1816849002022962,1764065272,Steam News API,"[p]Hello everyone![/p][p][/p][p]Another year has already passed, and once again we would like to ask for your support by voting for Palworld in the 2025 Steam Awards![/p][p][/p][p]This time, we would be honored if you considered voting for Palworld in the ""Labor of Love"" category.[/p][p][/p][p]Thanks to our players, we've received countless incredible suggestions for new content, as well as invalu",Nominate Palworld for the Labor of Love Award! Steam Awards 2025.
1623730,,https://steamstore-a.akamaihd.net/news/externalpost/GamingOnLinux/1816849002020151,1763991708,Steam News API,"<p><p>Home Sweet Home huh? The name of the next Palworld update that's been confirmed to arrive on December 17th.</p><p><img src=""https://www.gamingonlinux.com/uploads/articles/tagline_images/38077488id28060gol.jpg"" alt /></p><p>Read the full article here: https://www.gamingonlinux.com/2025/11/palworld-update-home-sweet-home-arrives-december-17-with-an-ultrakill-collab/</p></p>",Palworld update 'Home Sweet Home' arrives December 17 with an ULTRAKILL collab
1623730,pocketpair_dev,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1816849002017502,1763843432,Steam News API,"[p]We're excited to announce that Palworld's next major update will arrive on December 17!

The ""Home Sweet Home"" update includes a collab with the popular FPS ULTRAKILL, as well as new features for customizing bases.

Check out the trailer released today for more details!

[dynamiclink href=""https://youtu.be/rq8ey7cKfYo""][/dynamiclink][/p]",Palworld’s “Home Sweet Home” Update arrives December 17!
1623730,pocketpair_dev,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1815580768377452,1762744038,Steam News API,[p]\[Patch Notice]  [/p][p]Palworld version v0.6.9.82911 has been released! [/p][p]＝＝＝ [/p][p]▼Multiplayer[/p][p]・\[PC] Fixed an issue where multiplayer connectivity was not working correctly in some cases. [/p][p]=== [/p][p]Thank you for your continued support of Palworld![/p],v0.6.9.82911: Multiplayer connectivity improvements
1623730,pocketpair_dev,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1814942955087349,1761707888,Steam News API,[p]\[Patch Notice] [/p][p]Palworld version v0.6.9 has been released! [/p][p]＝＝＝ [/p][p]▼Bug Fixes[/p][p]・Fixed a bug that caused the game to freeze when in combat with the Terraprism and the Free Pal Alliance.[/p][p]・Fixed a bug where the map icon for supply crates would not disappear even after it was collected.[/p][p]=== [/p][p]Thank you for your continued support of Palworld![/p],v0.6.9: Bug Fixes
1623730,pocketpair_admin,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1814309641429890,1761188707,Steam News API,"[p][img src=""{STEAM_CLAN_IMAGE}/40671762/2c2d4e1baa506e8a3306e4861708dccf794efa36.png""][/img][/p][p][/p][p]\[Patch Notice][/p][p]Palworld version v0.6.8 has been released![/p][p]＝＝＝[/p][p]▼New Content[/p][p]・Added a new ""Halloween Mission""![/p][p]Complete the mission to unlock Zoe's Halloween costume and a Depresso armor set for players! [/p][p]▼Mechanic Adjustments[/p][p]・Added the ""Zoe's Sphere""",Update v0.6.8: Halloween! Zoe's Halloween costume and Depresso suit!
1623730,,"https://steamstore-a.akamaihd.net/news/externalpost/Rock, Paper, Shotgun/1814309641417000",1761152518,Steam News API,"<img src=""https://assetsio.gnwcdn.com/palworld-header_Bt5uLwp.jpg?width=690&quality=85&format=jpg&auto=webp"" /> <p>
Earlier this year, <a href=""https://www.rockpapershotgun.com/games/palworld"">Palworld</a> developer Pocketpair used its newfound success to <a href=""https://www.rockpapershotgun.com/palworlds-creators-are-paying-the-kenzera-devs-to-make-a-horror-game-about-the-entertainment-industry""","Palworld dev Pocketpair, famous for making wholly original games, won't publish your game if it uses generative AI"
